Hour,demand
13,0.713260245
14,0.722091708
15,0.761202471
16,0.783781432
17,0.799834682
18,0.792873923
19,0.772513704
20,0.765944488
21,0.762899156
22,0.718959367
23,0.667580266
24,0.613068825
1,0.5834856
2,0.564517532
3,0.556295136
4,0.562298791
5,0.571347777
6,0.602801705
7,0.641042374
8,0.676542243
9,0.699121204
10,0.718524319
11,0.740885757
12,0.764247803
13,0.769207344
14,0.75715653
15,0.740624728
16,0.738710519
17,0.740972766
18,0.736187244
19,0.734229531
20,0.72596363
21,0.711781084
22,0.677368833
23,0.626816323
24,0.586139389
1,0.560471591
2,0.550291482
3,0.542504133
4,0.540720439
5,0.544287827
6,0.550030453
7,0.56999913
8,0.615287566
9,0.654659358
10,0.684721135
11,0.710606456
12,0.718567824
13,0.719350909
14,0.72770382
15,0.751065866
16,0.756373445
17,0.774819455
18,0.77734273
19,0.765726964
20,0.75119638
21,0.74623684
22,0.717654224
23,0.669624989
24,0.628295484
1,0.59027234
2,0.564561037
3,0.548594797
4,0.539589315
5,0.539980858
6,0.549029844
7,0.583050553
8,0.643261115
9,0.697206996
10,0.733881493
11,0.76816323
12,0.793918037
13,0.82128252
14,0.826851127
15,0.831984686
16,0.853867572
17,0.901809797
18,0.909423127
19,0.903636996
20,0.878665275
21,0.854172105
22,0.814713304
23,0.757722092
24,0.704602802
1,0.674541025
2,0.64835117
3,0.631384321
4,0.6256852
5,0.635430262
6,0.673627425
7,0.7403637
8,0.816496998
9,0.855999304
10,0.885974071
11,0.907291395
12,0.944574959
13,0.946837205
14,0.940311494
15,0.943356826
16,0.951361698
17,0.9678935
18,0.968328548
19,0.951579222
20,0.934438354
21,0.923388149
22,0.883407291
23,0.802096929
24,0.741233794
1,0.695988863
2,0.667928304
3,0.640215784
4,0.631384321
5,0.642217002
6,0.67623771
7,0.735665188
8,0.812103019
9,0.860349778
10,0.892282259
11,0.93000087
12,0.944531454
13,0.938223266
14,0.919646741
15,0.901026712
16,0.881580092
17,0.897937875
18,0.891847211
19,0.874532324
20,0.854998695
21,0.835900113
22,0.791264248
23,0.74110328
24,0.69146437
1,0.653093187
2,0.629122074
3,0.613895415
4,0.610937092
5,0.626076742
6,0.660488993
7,0.709605847
8,0.758244149
9,0.798573044
10,0.819890368
11,0.848777517
12,0.867397546
13,0.873270687
14,0.873314191
15,0.874619334
16,0.886452623
17,0.886496128
18,0.865352823
19,0.856434351
20,0.823196728
21,0.807578526
22,0.766336031
23,0.708996781
24,0.656486557
1,0.619202993
2,0.594622814
3,0.567954407
4,0.551248586
5,0.557556774
6,0.56991212
7,0.593230662
8,0.626729313
9,0.66018446
10,0.688767076
11,0.717741234
12,0.729008962
13,0.734925607
14,0.733446446
15,0.724440964
16,0.730357609
17,0.750152267
18,0.744670669
19,0.728486905
20,0.713434264
21,0.689419647
22,0.655659967
23,0.608761855
24,0.564691551
1,0.539589315
2,0.516966849
3,0.504916036
4,0.504306969
5,0.507091273
6,0.526320369
7,0.559645001
8,0.587052989
9,0.602192639
10,0.607717741
11,0.618419908
12,0.634690681
13,0.648003132
14,0.660750022
15,0.669015923
16,0.670712608
17,0.67284434
18,0.674976072
19,0.67789089
20,0.659705908
21,0.662925259
22,0.632993996
23,0.582397981
24,0.546593579
1,0.51944662
2,0.501087619
3,0.487862177
4,0.488558253
5,0.48394675
6,0.483250674
7,0.502697294
8,0.536456974
9,0.557687288
10,0.56751936
11,0.582746019
12,0.604106848
13,0.618854955
14,0.627033847
15,0.639258679
16,0.661533107
17,0.688462542
18,0.702993126
19,0.705168363
20,0.688984599
21,0.677281824
22,0.650352388
23,0.61037153
24,0.571826329
1,0.541286
2,0.519664143
3,0.50752632
4,0.496302097
5,0.493256765
6,0.488079701
7,0.512833899
8,0.552162186
9,0.582746019
10,0.609936483
11,0.642129992
12,0.667101714
13,0.673279387
14,0.679935613
15,0.697946576
16,0.728095362
17,0.766205516
18,0.783781432
19,0.778517358
20,0.750587314
21,0.734708083
22,0.699034195
23,0.643261115
24,0.594274776
1,0.568432959
2,0.542025581
3,0.533324632
4,0.536848516
5,0.546158531
6,0.576263813
7,0.619202993
8,0.680631689
9,0.722526755
10,0.755764378
11,0.794266075
12,0.822718176
13,0.84238232
14,0.858131036
15,0.869485774
16,0.894109458
17,0.911511355
18,0.907378404
19,0.895458105
20,0.879752893
21,0.857347951
22,0.812886105
23,0.749847733
24,0.696336901
1,0.658357261
2,0.627164361
3,0.610241016
4,0.605890542
5,0.618680936
6,0.657791699
7,0.729574524
8,0.80018272
9,0.837553293
10,0.864091186
11,0.88788828
12,0.904333072
13,0.912076916
14,0.916166362
15,0.923170626
16,0.932393631
17,0.942095188
18,0.930566432
19,0.934046811
20,0.905203167
21,0.888975898
22,0.850604716
23,0.773688332
24,0.714173845
1,0.665666058
2,0.634690681
3,0.614547986
4,0.602323153
5,0.606934656
6,0.639693727
7,0.679805099
8,0.728921952
9,0.752849561
10,0.76385626
11,0.771991647
12,0.77651614
13,0.766249021
14,0.758244149
15,0.758200644
16,0.752501523
17,0.752283999
18,0.742408423
19,0.730879666
20,0.715217959
21,0.710171409
22,0.664143392
23,0.6155921
24,0.573174976
1,0.547072131
2,0.53375968
3,0.527973549
4,0.527930044
5,0.538545201
6,0.567910902
7,0.612068215
8,0.652179588
9,0.674105978
10,0.68798399
11,0.704820325
12,0.716305577
13,0.711607065
14,0.705298878
15,0.709866875
16,0.707735143
17,0.717654224
18,0.717741234
19,0.710214913
20,0.703341164
21,0.699034195
22,0.66101105
23,0.61211172
24,0.576263813
1,0.547376664
2,0.532324023
3,0.522143914
4,0.521969895
5,0.535543374
6,0.567649874
7,0.609022883
8,0.644261725
9,0.660097451
10,0.667841295
11,0.67193074
12,0.674932568
13,0.674279997
14,0.673148873
15,0.671713217
16,0.678456452
17,0.688549552
18,0.685286696
19,0.676020186
20,0.672670321
21,0.675019577
22,0.64165144
23,0.588706169
24,0.544983903
1,0.519925172
2,0.504611503
3,0.493648308
4,0.488688767
5,0.488471243
6,0.493604803
7,0.51265988
8,0.541851562
9,0.566214217
10,0.583529105
11,0.605150961
12,0.618245889
13,0.623161925
14,0.628948055
15,0.639606717
16,0.65844427
17,0.69385713
18,0.708648743
19,0.706081963
20,0.684242582
21,0.669363961
22,0.645349343
23,0.593883233
24,0.557991821
1,0.526407378
2,0.507221787
3,0.496737144
4,0.490254938
5,0.488123205
6,0.487818672
7,0.505177064
8,0.532411033
9,0.563690942
10,0.584529714
11,0.604802924
12,0.622639868
13,0.629731141
14,0.63155834
15,0.642217002
16,0.654963891
17,0.677542852
18,0.67541112
19,0.668667885
20,0.66779779
21,0.672713826
22,0.644348734
23,0.60284521
24,0.568476464
1,0.54807274
2,0.530540329
3,0.523362046
4,0.524928217
5,0.536630993
6,0.568302445
7,0.615374576
8,0.659183851
9,0.686200296
10,0.705385887
11,0.727051249
12,0.741668842
13,0.753067084
14,0.763769251
15,0.772426695
16,0.789002001
17,0.80936222
18,0.803706604
19,0.794483599
20,0.778517358
21,0.768728791
22,0.741451318
23,0.686896372
24,0.637649004
1,0.606064561
2,0.590707387
3,0.562951362
4,0.566475246
5,0.58091882
6,0.617549813
7,0.665405029
8,0.712346646
9,0.742625946
10,0.762464109
11,0.791394762
12,0.821108501
13,0.845166623
14,0.859566693
15,0.8651353
16,0.886887671
17,0.902636387
18,0.882145654
19,0.862438006
20,0.844340033
21,0.825284956
22,0.764813365
23,0.700774384
24,0.650613417
1,0.620943183
2,0.59605847
3,0.592273558
4,0.586617941
5,0.598146698
6,0.629731141
7,0.681632298
8,0.735012616
9,0.7715566
10,0.792003828
11,0.817497607
12,0.839902549
13,0.851909858
14,0.86852867
15,0.881623597
16,0.913556078
17,0.929609327
18,0.928173671
19,0.914426172
20,0.887844775
21,0.86596189
22,0.813234143
23,0.746584878
24,0.685939267
1,0.641520926
2,0.615244062
3,0.59779866
4,0.587183503
5,0.594448795
6,0.624989124
7,0.679500566
8,0.739711129
9,0.770251457
10,0.796832855
11,0.83311581
12,0.856869399
13,0.860784826
14,0.871878535
15,0.885103976
16,0.902462368
17,0.912337945
18,0.890672583
19,0.86770208
